,RID,start,end,Distance,Time
268,32240,"51.4564704855005, 6.73659373889677","51.4679164502837, 6.72075773065444",1904,238
269,32243,"48.9459833267185, 9.42970275878906","48.8209970101789, 9.34850692749024",20972,1297
270,32256,"51.0120311596628, 11.3422679901123","50.985876133371, 11.3455001986586",4792,633
271,32262,"52.5329874486569, 13.5439112343011","52.5669266091613, 14.0748616517521",43725,3270
272,32264,"48.1439465741166, 10.2533585677156","48.0874754915238, 10.2829170192126",10099,810
273,32272,"51.5384479835308, 7.11441993713379","51.5495475338527, 7.12858200073242",8962,836
274,32279,"51.4720151866535, 7.36740589141846","51.4274924994744, 7.27020263671875",11936,656
275,32295,"51.9054327045212, 8.37516975298058","51.8977787417975, 8.3962732877544",2509,387
276,32296,"53.0644325013774, 8.80579948425293","53.1116684187051, 9.03648425426929",30947,2099
277,32300,"53.039581865896, 8.59859991047415","53.1299679149837, 8.63558006181847",12933,1116
278,32308,"52.7662917817552, 13.238525390625","52.7870809335192, 13.2625579833984",4365,460
279,32310,"52.5005469489585, 13.3160090446472","52.4929446935689, 13.3138632774353",1425,257
280,32312,"49.0035766466774, 8.51842761039734","48.983510442385, 8.42462539672852",11459,902
281,32315,"51.7181311252989, 8.75846385955811","51.7187922602311, 8.76202583312988",521,130
282,32329,"51.8180316186099, 9.86949920654297","51.6774066499541, 9.73498106002808",29318,2007
283,32337,"52.025077360978, 8.5434365272522","52.0235061454287, 8.50341796875",5138,438
284,32344,"53.597815240149, 11.4431190490723","53.5965342552422, 11.4423894882202",1119,243
285,32348,"51.5012727550175, 6.87977314039017","51.5649169572955, 6.86665535060456",8446,937
286,32350,"50.8893906240934, 11.8231773376465","50.8952377736013, 11.8255805969238",605,131
287,32383,"49.388630550439, 11.3559150695801","49.3868426993572, 11.3463020324707",1838,310
288,32390,"51.0123118492866, 13.8125824928284","51.0662153457659, 13.8515281677246",9307,1232
289,32393,"49.4497571741623, 11.1179065704346","49.4582170862832, 11.1236572265625",2605,406
290,32409,"51.5890428924416, 7.20428466796875","51.6636551644809, 7.19089508056641",14950,882
291,32420,"52.5291983833952, 13.4794306755066","52.7463252149242, 13.6339832469821",32952,2484
292,32433,"53.4907447366359, 10.258886218071","53.4964429100793, 10.2810788154602",1891,307
293,32441,"50.5645252914413, 8.15769195556641","50.4874249714563, 8.27133178710938",14712,1093
294,32443,"50.1248154060529, 8.71410548686981","50.0642468338323, 8.65847110748291",14297,975
295,32444,"49.215578774996, 8.9128303527832","49.1305098253279, 8.90235900878906",12371,1064
296,32452,"50.0253379921522, 8.79213523759972","49.9880366200599, 8.72913551225793",8689,827
297,32455,"54.1475564206634, 10.9565234184265","54.178932490972, 10.9720426797867",4286,313
298,32470,"48.8500737046648, 13.4117317199707","48.8570578229979, 13.3911323547363",2966,351
