,RID,start,end,Distance,Time
785,64000,"50.5225404246334, 8.67795181344263","50.5072804748001, 8.68859481881373",2254,1993
786,64022,"53.5792158245916, 10.0226317569104","53.5955088534898, 10.0256948726311",2205,1813
787,64023,"50.8864029172288, 12.0750672742724","50.8773144617977, 12.0511288731359",2828,2795
788,64026,"52.2854357228166, 10.5361139774323","52.2911592237031, 10.5511665344238",1388,1125
789,64029,"48.1971065260589, 11.5727049962879","48.168735400624, 11.5512565203608",4356,3718
790,64031,"48.0747756479675, 8.72404575347901","48.3636724429925, 8.74134063720703",40789,33412
791,64034,"51.2108838799068, 6.76474034786224","51.2099277876574, 6.772620677948",725,587
792,64037,"54.1117479823206, 11.9119262695313","54.1149679843837, 11.9146728515625",358,277
793,64044,"49.7270976160254, 11.3364758491298","49.7279395695645, 11.3353643423034",89,80
794,64048,"52.4407307949182, 13.4455694945063","52.4397027908223, 13.4447477615322",299,242
795,64058,"53.0983992346325, 8.23886632919312","53.1340043960545, 8.2107138633728",5866,4762
796,64060,"49.6605396171529, 6.94156873822067","49.6640899158125, 6.93665991624584",1331,1089
797,64063,"49.5161865106849, 11.2791252144962","49.5007305740405, 11.2980553420493",3437,2846
798,64067,"51.3657001978571, 7.47822403907776","51.381047284596, 7.49414563179016",2398,2104
799,64073,"52.2952172620002, 9.94485855102539","52.4867942788104, 10.26123046875",35646,28786
800,64074,"49.9230817762731, 8.4850823879242","49.9230763656455, 8.48505020141602",2,1
801,64080,"49.4481651107305, 8.35321426391602","49.4184112203788, 8.36857795715332",4079,3380
802,64082,"48.1864688606283, 11.2620162963867","48.1905430622214, 11.2613296508789",619,515
803,64083,"51.3177977245485, 9.49546421252307","51.273934318376, 9.55422388847476",6986,5804
804,64106,"52.4409750357929, 9.75383377284743","52.4414668537313, 9.76075172948185",717,582
805,64107,"48.1607586100918, 11.543264885313","48.1699246948784, 11.5517402540718",1755,1608
806,64116,"52.7792711354937, 13.5354495118372","52.7852537032694, 13.5212158877403",1732,1410
807,64118,"49.7990621776224, 12.4050064128824","49.7970455349246, 12.4025688192341",373,358
808,64125,"52.6348483126352, 13.286303045461","52.6418629710638, 13.2797820570704",1241,999
