"RID","on_foot","bike","car","distance_walk","time_walk","distance_bike","time_bike","distance_car","time_car","mean_dist","mean_time"
22284,1,0,0,2425,2041,NA,NA,NA,NA,2425,2041
22288,0,0,1,NA,NA,NA,NA,14976,980,14976,980
22293,1,0,1,4225,3346,NA,NA,8834,558,6529.5,1952
22294,0,1,0,NA,NA,3502,671,NA,NA,3502,671
22295,1,0,0,914,739,NA,NA,NA,NA,914,739
22302,1,0,1,9774,7959,NA,NA,9412,613,9593,4286
22308,0,1,0,NA,NA,18640,4315,NA,NA,18640,4315
22315,1,1,0,2052,1638,2105,355,NA,NA,2078.5,996.5
22317,1,1,1,9738,7911,9992,1887,9554,767,9761.33333333333,3521.66666666667
22318,1,0,0,814,1028,NA,NA,NA,NA,814,1028
22325,1,0,0,6546,5227,NA,NA,NA,NA,6546,5227
22332,1,1,0,3597,2951,3793,747,NA,NA,3695,1849
22334,1,1,0,282,226,282,49,NA,NA,282,137.5
22336,0,0,0,NA,NA,NA,NA,17476,1355,17476,1355
22340,0,0,1,NA,NA,NA,NA,3140,435,3140,435
22342,0,1,1,NA,NA,14962,2695,13568,1292,14265,1993.5
22343,1,0,0,364,292,NA,NA,NA,NA,364,292
22345,1,0,0,1853,1913,NA,NA,NA,NA,1853,1913
22360,1,0,0,24670,20960,NA,NA,NA,NA,24670,20960
22365,0,1,0,NA,NA,2580,599,NA,NA,2580,599
22368,1,0,1,565,529,NA,NA,846,137,705.5,333
22378,0,0,0,NA,NA,NA,NA,9795,1020,9795,1020
22379,0,0,1,NA,NA,NA,NA,17228,991,17228,991
22384,1,0,0,556,451,NA,NA,NA,NA,556,451
22395,1,0,1,3966,3064,NA,NA,5236,745,4601,1904.5
22397,0,1,0,NA,NA,521,112,NA,NA,521,112
22399,1,0,0,48844,40311,NA,NA,NA,NA,48844,40311
22411,0,0,1,NA,NA,NA,NA,5885,722,5885,722
22414,1,0,0,2247,1976,NA,NA,NA,NA,2247,1976
22417,1,1,0,907,708,907,203,NA,NA,907,455.5
22419,1,1,0,6752,5545,6923,1424,NA,NA,6837.5,3484.5
22421,1,0,0,2112,1693,NA,NA,NA,NA,2112,1693
22424,1,1,1,11216,9088,12845,2379,13504,900,12521.6666666667,4122.33333333333
22427,1,0,0,2640,2419,NA,NA,NA,NA,2640,2419
22429,0,0,1,NA,NA,NA,NA,152269,6010,152269,6010
22437,0,1,1,NA,NA,8391,1595,8232,738,8311.5,1166.5
22438,1,0,0,1157,1202,NA,NA,NA,NA,1157,1202
22447,1,0,0,3090,2493,NA,NA,NA,NA,3090,2493
22460,1,1,1,1462,1248,1716,517,1291,189,1489.66666666667,651.333333333333
22463,1,0,1,1572,1286,NA,NA,1781,220,1676.5,753
22467,1,0,0,2769,2312,NA,NA,NA,NA,2769,2312
22470,0,0,1,NA,NA,NA,NA,2743,284,2743,284
22483,0,0,1,NA,NA,NA,NA,8866,859,8866,859
22484,1,0,0,2315,1990,NA,NA,NA,NA,2315,1990
22491,1,1,1,1169,974,1243,245,1912,314,1441.33333333333,511
22496,1,0,0,2825,2283,NA,NA,NA,NA,2825,2283
22517,1,1,0,12504,10400,14224,2793,NA,NA,13364,6596.5
22522,0,1,1,NA,NA,10657,2276,12943,966,11800,1621
22525,0,1,0,NA,NA,14500,2936,NA,NA,14500,2936
22530,0,1,0,NA,NA,5184,1045,NA,NA,5184,1045
22533,1,0,0,292,254,NA,NA,NA,NA,292,254
22550,0,0,1,NA,NA,NA,NA,15751,2433,15751,2433
22551,1,0,0,1521,1242,NA,NA,NA,NA,1521,1242
22560,1,0,0,827,668,NA,NA,NA,NA,827,668
22562,1,1,0,2076,1736,2269,456,NA,NA,2172.5,1096
22567,0,1,1,NA,NA,10723,2106,10499,1529,10611,1817.5
22569,0,1,0,NA,NA,4611,965,NA,NA,4611,965
22573,1,0,0,1667,1540,NA,NA,NA,NA,1667,1540
22577,1,0,0,1454,1262,NA,NA,NA,NA,1454,1262
22585,0,0,1,NA,NA,NA,NA,100204,4174,100204,4174
22595,0,0,1,NA,NA,NA,NA,13139,1074,13139,1074
22598,1,0,0,3316,2714,NA,NA,NA,NA,3316,2714
22600,0,0,1,NA,NA,NA,NA,10420,954,10420,954
22602,1,1,0,10850,8975,11263,2374,NA,NA,11056.5,5674.5
22603,1,1,0,1213,983,1337,301,NA,NA,1275,642
22610,1,0,0,1020,841,NA,NA,NA,NA,1020,841
22612,1,0,0,5671,4584,NA,NA,NA,NA,5671,4584
22618,1,0,0,8709,6913,NA,NA,NA,NA,8709,6913
22622,1,0,0,5006,4621,NA,NA,NA,NA,5006,4621
22624,1,0,0,3131,2688,NA,NA,NA,NA,3131,2688
22628,1,0,1,3424,2824,NA,NA,4556,657,3990,1740.5
22629,1,0,0,632,547,NA,NA,NA,NA,632,547
22631,1,0,1,67243,54144,NA,NA,82779,3782,75011,28963
22634,1,1,0,13267,11310,13917,3263,NA,NA,13592,7286.5
22645,0,1,0,NA,NA,3038,641,NA,NA,3038,641
22652,1,1,1,25690,20766,25038,4862,24183,1684,24970.3333333333,9104
22661,1,0,0,3337,2928,NA,NA,NA,NA,3337,2928
22662,1,1,0,39993,32767,44829,8588,NA,NA,42411,20677.5
22671,1,0,1,5992,4890,NA,NA,7989,979,6990.5,2934.5
22672,0,1,1,NA,NA,6172,1131,5187,440,5679.5,785.5
22674,1,0,0,1598,1304,NA,NA,NA,NA,1598,1304
22678,1,1,0,3121,2575,3483,730,NA,NA,3302,1652.5
22682,1,0,0,371,296,NA,NA,NA,NA,371,296
22687,1,0,0,2548,2456,NA,NA,NA,NA,2548,2456
22693,1,0,0,69,63,NA,NA,NA,NA,69,63
22704,0,0,1,NA,NA,NA,NA,2160,386,2160,386
22710,0,0,1,NA,NA,NA,NA,30116,2417,30116,2417
22716,0,0,1,NA,NA,NA,NA,208,17,208,17
22718,1,0,1,26912,21747,NA,NA,28212,1965,27562,11856
22723,1,0,0,999,890,NA,NA,NA,NA,999,890
22724,0,0,1,NA,NA,NA,NA,10907,1128,10907,1128
22727,0,1,0,NA,NA,19340,4176,NA,NA,19340,4176
22728,1,0,1,5968,4853,NA,NA,7081,771,6524.5,2812
22731,0,0,1,NA,NA,NA,NA,7930,460,7930,460
22740,1,0,1,3146,2483,NA,NA,2968,332,3057,1407.5
22743,1,1,1,1869,1505,1905,327,2292,249,2022,693.666666666667
22746,0,0,1,NA,NA,NA,NA,5143,486,5143,486
22750,0,0,1,NA,NA,NA,NA,17504,1420,17504,1420
22751,1,0,0,1240,1006,NA,NA,NA,NA,1240,1006
22757,1,0,0,2219,1806,NA,NA,NA,NA,2219,1806
22759,0,1,0,NA,NA,4349,730,NA,NA,4349,730
22760,1,0,0,1779,1545,NA,NA,NA,NA,1779,1545
22763,1,1,0,5523,4548,5748,1141,NA,NA,5635.5,2844.5
22765,1,1,0,2236,1750,2236,415,NA,NA,2236,1082.5
22768,1,0,0,4698,3828,NA,NA,NA,NA,4698,3828
22770,0,0,1,NA,NA,NA,NA,50879,2218,50879,2218
22774,1,0,0,1967,1654,NA,NA,NA,NA,1967,1654
22778,1,1,1,2602,2244,2700,670,2137,440,2479.66666666667,1118
22779,0,1,1,NA,NA,12097,2209,14905,1007,13501,1608
22784,1,0,1,13979,11259,NA,NA,15268,1006,14623.5,6132.5
22785,1,0,1,1890,1597,NA,NA,2415,463,2152.5,1030
22788,0,0,1,NA,NA,NA,NA,1261,144,1261,144
22792,1,0,0,2098,2290,NA,NA,NA,NA,2098,2290
22797,0,0,1,NA,NA,NA,NA,13419,1381,13419,1381
22798,0,0,1,NA,NA,NA,NA,2054,127,2054,127
